"dt_pacific","hour_pacific","Max","Average"
2024-06-13,12:30:40,322247,7260.14264264265
2024-06-13,12:31:00,322267,8122.05042016806
2024-06-13,12:31:20,322287,7939.96387520526
2024-06-13,12:31:40,322307,7711.696485623
2024-06-13,12:32:00,322327,7522.14329738059
2024-06-13,12:32:20,322347,7465.89755351682
2024-06-13,12:32:40,322367,7315.0419790105
2024-06-13,12:33:00,322387,7768.96656050955
2024-06-13,12:33:20,322407,7920.39935064935
2024-06-13,12:33:40,322427,7770.06847133758
2024-06-13,12:34:00,322447,8439.85391304347
2024-06-13,12:34:20,322467,8225.78644067797
2024-06-13,12:34:40,322487,7843.26817447496
2024-06-13,12:35:00,322507,8341.84102564102
2024-06-13,12:35:20,322527,8289.26994906621
2024-06-13,12:35:40,322547,8426.85319516407
2024-06-13,12:36:00,322567,8069.34375000001
2024-06-13,12:36:20,322587,8257.33165829146
2024-06-13,12:36:40,322607,8324.96114864865
2024-06-13,12:37:00,322627,7907.43820224719
2024-06-13,12:37:20,322647,8543.53472222222
2024-06-13,12:37:40,322667,8031.4061990212
2024-06-13,12:38:00,322687,9349.73156899811
2024-06-13,12:38:20,322707,7884.68312101911
2024-06-13,12:38:40,322727,7583.91244239631
2024-06-13,12:39:00,322747,8498.39723661485
2024-06-13,12:39:20,322767,8002.70846905537
2024-06-13,12:39:40,322787,7506.04732824427
2024-06-13,12:40:00,322807,7948.70790378007
2024-06-13,12:40:20,322827,8163.81802426344
2024-06-13,12:40:40,322847,7322.24068322981
2024-06-13,12:41:00,322867,7947.51939291736
2024-06-13,12:41:20,322887,7691.90048939642
2024-06-13,12:41:40,322907,7830.09966777409
2024-06-13,12:42:00,322927,8778.48035714285
2024-06-13,12:42:20,322947,9039.38786764706
2024-06-13,12:42:40,322967,7909.76205787781
2024-06-13,12:43:00,322987,8425.02739726027
2024-06-13,12:43:20,323007,8384.90971039182
2024-06-13,12:43:40,323027,7634.7534883721
2024-06-13,12:44:00,323047,8244.91289782245
2024-06-13,12:44:20,323067,7945.05
2024-06-13,12:44:40,323087,7861.38277511961
2024-06-13,12:45:00,323107,7772.64826498423
2024-06-13,12:45:20,323127,7971.94660194174
2024-06-13,12:45:40,323147,7909.46227929374
2024-06-13,12:46:00,323167,8311.3255033557
2024-06-13,12:46:20,323187,7990.34032258064
2024-06-13,12:46:40,323207,7790.23742138364
2024-06-13,12:47:00,323227,7320.99113737075
2024-06-13,12:47:20,323247,8269.53422370618
2024-06-13,12:47:40,323267,9483.21264367816
2024-06-13,12:48:00,323287,8403.89078498294
2024-06-13,12:48:20,323307,8778.57040998217
2024-06-13,12:48:40,323327,7760.74803149607
2024-06-13,12:49:00,323347,8238.27620632279
2024-06-13,12:49:20,323367,8203.42880794703
2024-06-13,12:49:40,323387,8329.32268907564
2024-06-13,12:50:00,323407,8513.04490500863
2024-06-13,12:50:20,323427,7532.46106870229
2024-06-13,12:50:40,323447,7841.59459459459
2024-06-13,12:51:00,323467,7968.47819063004
2024-06-13,12:51:20,323487,7899.1584
2024-06-13,12:51:40,323507,7894.1104
2024-06-13,12:52:00,323527,7830.70317460317
2024-06-13,12:52:20,323547,8022.00325203252
2024-06-13,12:52:40,323567,7857.81050955414
2024-06-13,12:53:00,323587,8552.58752166378
2024-06-13,12:53:20,323607,7440.44277108434
2024-06-13,12:53:40,323627,8079.37315875614
2024-06-13,12:54:00,323647,7996.53896103896
2024-06-13,12:54:20,323667,7906.5264
2024-06-13,12:54:40,323687,8354.15059221658
2024-06-13,12:55:00,323707,8470.17948717949
2024-06-13,12:55:20,323727,8029.96920583468
2024-06-13,12:55:40,323747,7752.45539906102
2024-06-13,12:56:00,323767,7897.35576923076
2024-06-13,12:56:20,323787,7864.23604465709
2024-06-13,12:56:40,323807,8625.79298245614
2024-06-13,12:57:00,323827,8367.26315789474
2024-06-13,12:57:20,323847,8249.5602006689
2024-06-13,12:57:40,323867,8087.63770491803
2024-06-13,12:58:00,323887,7956.82182985554
2024-06-13,12:58:20,323907,7776.81191222571
2024-06-13,12:58:40,323927,7704.44875776397
2024-06-13,12:59:00,323947,8295.8655462185
2024-06-13,12:59:20,323967,7715.97656250001
2024-06-13,12:59:40,323987,7923.30016051365
2024-06-13,13:00:00,324007,7508.1467473525
2024-06-13,13:00:20,324027,7513.65384615384
2024-06-13,13:00:40,324047,7847.43569131832
2024-06-13,13:01:00,324067,8151.79372937293
2024-06-13,13:01:20,324087,7581.58742331288
2024-06-13,13:01:40,324107,8387.19694397283
2024-06-13,13:02:00,324127,8533.44905008635
2024-06-13,13:02:20,324147,7856.41082802548
2024-06-13,13:02:40,324167,8028.1737012987
2024-06-13,13:03:00,324187,8127.06578947368
2024-06-13,13:03:20,324207,8828.32857142857
2024-06-13,13:03:40,324227,8574.80347826086
2024-06-13,13:04:00,324247,8357.23220338983
2024-06-13,13:04:20,324267,8988.55090909092
2024-06-13,13:04:40,324287,9071.81100917431
2024-06-13,13:05:00,324307,8355.1875
2024-06-13,13:05:20,324327,8204.99004975124
2024-06-13,13:05:40,324347,9610.62256809339
2024-06-13,13:06:00,324367,9861.35928143712
2024-06-13,13:06:20,324387,7507.09408194234
2024-06-13,13:06:40,324407,8552.5
2024-06-13,13:07:00,324427,9053.74175824176
2024-06-13,13:07:20,324447,8484.75471698114
2024-06-13,13:07:40,324467,8865.01433691756
2024-06-13,13:08:00,324487,7684.48447204969
2024-06-13,13:08:20,324507,7981.7935483871
