"hour_pacific","Max","Average"
05:13:20,674880,15533.8383838384
05:13:40,674900,16897.9010989011
05:14:00,674920,14147.7042682927
05:14:20,674940,15576.788590604
05:14:40,674960,15784.5510204082
05:15:00,674980,15782.7619047619
05:15:20,675000,15680.9324324325
05:15:40,675020,15119.0912052117
05:16:00,675040,15120.0618892508
05:16:20,675060,15322.7821782178
05:16:40,675080,15474.1333333333
05:17:00,675100,14928.8488745981
05:17:20,675120,15226.8491803279
05:17:40,675140,18205.8980392157
05:18:00,675160,15529.7558528428
05:18:20,675180,13868.1820895522
05:18:40,675200,14472.6355140187
05:19:00,675220,15565.0766666667
05:19:20,675240,15835.9389830508
05:19:40,675260,14298.8213058419
05:20:00,675280,14342.2901234568
05:20:20,675300,15291.4342105263
05:20:40,675320,15293.4638157895
05:21:00,675340,16217.2701754386
05:21:20,675360,14681.2126984127
05:21:40,675380,15569.9898989899
05:22:00,675400,15652.5555555555
05:22:20,675420,13886.6507462687
05:22:40,675440,15449.2292358804
